SDSS,RA,DEC,z,u,e_u,g,e_g,r,e_r,i,e_i,z_psf,e_z,A_u,logNH,F20cm,SN_F20cm,sep_FIRST,fR0,fR1,logX,SN_X,sep_X,J,e_J,H,e_H,K,e_K,sep_2MASS,M_i,D_gi,Morph,S,mode,utf,Tflag,Lz,Hz,fR,fX,fS,f*,fG,run,MJD_img,MJD_spec,plate,fiber,rerun,camcol,field,obj,Tflag_T,LzT,HzT,fRT,fXT,fST,f*T,fGT,u_PSF,e_u_PSF,g_PSF,e_g_PSF,r_PSF,e_r_PSF,i_PSF,e_i_PSF,z_PSF,e_z_PSF,72,73,74,75,76,77,g_minus_r,classification
103601.12+111024.6,159.004683,11.173518,3.3757,24.434,1.356,20.57,0.03,19.93,0.031,19.835,0.036,19.663,0.098,0.187,20.491,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.773,0.05,0,1,1,1,1,0,1,0,0,0,0,0,3836,52729,53089,1599,623,41,3,71,147,1,0,1,0,0,0,0,0,24.434,1.356,20.57,0.03,19.929,0.031,19.836,0.036,19.663,0.098,450306505892167680,,,,,,0.6400000000000006,non-quasar
103601.24+142528.1,159.005179,14.424476,1.3502,19.018,0.03,18.815,0.019,18.454,0.021,18.41,0.022,18.421,0.026,0.171,20.526,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.102,0.09,0,1,1,1,1048578,1,0,0,0,1,0,0,3631,52667,53112,1748,366,40,6,284,15,1048578,1,0,0,0,1,0,0,19.018,0.03,18.815,0.019,18.454,0.021,18.41,0.022,18.421,0.026,492246375128367104,,,,,,0.36100000000000065,quasar
103601.48+430220.4,159.006191,43.03901,1.9941,19.17,0.032,19.068,0.027,18.968,0.022,18.876,0.022,18.737,0.034,0.057,20.053,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.501,0.033,0,1,1,1,1048578,1,0,0,0,1,0,0,3818,52724,53047,1361,338,41,6,44,40,1048578,1,0,0,0,1,0,0,19.175,0.043,19.024,0.028,18.941,0.024,18.874,0.021,18.745,0.033,383315279851028480,,,,,,0.10000000000000142,quasar
103602.61+465456.6,159.010894,46.915727,1.6955,18.934,0.022,18.923,0.037,18.747,0.025,18.449,0.036,18.407,0.031,0.087,20.152,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.565,0.218,0,1,1,1,1048578,1,0,0,0,1,0,0,2964,52313,52615,961,633,40,3,205,93,1048579,1,1,0,0,1,0,0,18.971,0.018,18.888,0.015,18.773,0.013,18.452,0.008,18.435,0.027,270723434978213888,,,,,,0.17599999999999838,quasar
103604.08+423805.2,159.017002,42.634784,1.2669,19.136,0.026,18.957,0.023,18.729,0.026,18.672,0.027,18.68,0.032,0.064,20.049,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.645,0.017,0,1,1,1,1048578,1,0,0,0,1,0,0,3813,52722,53047,1361,400,41,5,102,3,1048578,1,0,0,0,1,0,0,19.136,0.029,18.957,0.027,18.72,0.025,18.68,0.024,18.692,0.034,383315280111075328,,,,,,0.22800000000000153,quasar
103607.12+614349.8,159.029669,61.73052,1.6839,19.009,0.043,18.824,0.029,18.925,0.021,18.755,0.019,18.668,0.045,0.051,19.898,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.228,-0.179,0,1,1,1,1048579,1,1,0,0,1,0,0,1332,51638,52375,772,71,40,2,55,18,1048579,1,1,0,0,1,0,0,19.015,0.023,18.942,0.015,18.981,0.016,18.794,0.02,18.719,0.039,217523631230550016,,,,,,-0.10099999999999909,quasar
103608.97+065443.9,159.037414,6.912216,2.4382,19.253,0.028,18.568,0.022,18.476,0.017,18.427,0.018,18.168,0.026,0.133,20.452,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.438,0.119,0,1,1,1,1,0,1,0,0,0,0,0,2986,52318,52643,1000,341,40,4,270,51,2,1,0,0,0,0,0,0,19.234,0.025,18.567,0.024,18.492,0.019,18.402,0.015,18.17,0.033,281701078104276992,,,,,,0.0920000000000023,quasar
103610.41+434923.6,159.043404,43.823241,1.3554,19.022,0.032,18.932,0.029,18.715,0.03,18.691,0.035,18.861,0.051,0.051,20.061,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.782,-0.031,0,1,1,1,1048578,1,0,0,0,1,0,0,3530,52621,52990,1429,21,42,2,264,55,1048578,1,0,0,0,1,0,0,19.021,0.032,18.927,0.027,18.737,0.028,18.687,0.035,18.85,0.05,402455332124622848,,,,,,0.21699999999999875,quasar
103612.59+421619.0,159.052462,42.271952,1.4048,19.014,0.027,18.765,0.018,18.658,0.036,18.577,0.023,18.551,0.035,0.062,20.049,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.985,-0.071,0,1,1,1,1048578,1,0,0,0,1,0,0,3813,52722,53047,1361,386,41,4,101,19,1048578,1,0,0,0,1,0,0,19.02,0.026,18.794,0.027,18.646,0.021,18.58,0.024,18.563,0.035,383315280052355072,,,,,,0.10699999999999932,quasar
103615.48+342708.8,159.064532,34.452471,2.1005,19.869,0.046,19.559,0.018,19.291,0.02,19.131,0.019,18.811,0.041,0.087,20.246,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.377,0.264,0,1,1,1,1048579,1,1,0,0,1,0,0,4518,53082,53436,1982,444,40,3,201,59,1048579,1,1,0,0,1,0,0,19.869,0.046,19.559,0.018,19.291,0.02,19.131,0.019,18.811,0.041,558112911575220224,,,,,,0.2680000000000007,quasar
103615.85+375434.4,159.066042,37.909566,3.1552,22.315,0.197,20.239,0.02,19.888,0.023,20.012,0.032,19.955,0.079,0.088,20.193,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.408,-0.115,0,1,1,1,33554433,0,1,0,0,0,0,0,4469,53052,53432,1973,618,40,5,313,173,33554433,0,1,0,0,0,0,0,22.315,0.197,20.239,0.02,19.887,0.023,20.012,0.032,19.955,0.079,555579620334764032,,,,,,0.3509999999999991,quasar
103617.58+414237.1,159.073278,41.710318,1.9876,17.803,0.015,17.759,0.042,17.658,0.025,17.504,0.019,17.475,0.027,0.051,20.049,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,16.633,0.151,16.188,0.1,15.684,0.1,0.184,-27.863,0.09,0,1,1,1,2,1,0,0,0,0,0,0,3818,52724,53033,1360,589,41,3,42,43,2,1,0,0,0,0,0,0,17.809,0.016,17.809,0.075,17.66,0.03,17.512,0.021,17.503,0.041,383033745797545984,,,,,,0.10099999999999909,quasar
