SDSS,RA,DEC,z,u,e_u,g,e_g,r,e_r,i,e_i,z_psf,e_z,A_u,logNH,F20cm,SN_F20cm,sep_FIRST,fR0,fR1,logX,SN_X,sep_X,J,e_J,H,e_H,K,e_K,sep_2MASS,M_i,D_gi,Morph,S,mode,utf,Tflag,Lz,Hz,fR,fX,fS,f*,fG,run,MJD_img,MJD_spec,plate,fiber,rerun,camcol,field,obj,Tflag_T,LzT,HzT,fRT,fXT,fST,f*T,fGT,u_PSF,e_u_PSF,g_PSF,e_g_PSF,r_PSF,e_r_PSF,i_PSF,e_i_PSF,z_PSF,e_z_PSF,72,73,74,75,76,77,g_minus_r,classification
000009.26+151754.5,0.038605,15.298476,1.1986,19.921,0.042,19.811,0.036,19.386,0.017,19.165,0.023,19.323,0.069,0.223,20.551,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.085,0.332,0,1,1,1,1048578,1,0,0,0,1,0,0,1739,51814,52251,751,354,40,4,303,24,1048578,1,0,0,0,1,0,0,19.911,0.037,19.77,0.024,19.393,0.018,19.173,0.019,19.353,0.07,211612125330669568,,,,,,0.4250000000000007,quasar
000009.38+135618.4,0.039088,13.938447,2.24,19.218,0.026,18.893,0.022,18.445,0.018,18.331,0.024,18.11,0.033,0.321,20.572,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.419,0.428,0,1,1,1,2,1,0,0,0,0,0,0,1739,51814,52235,750,82,40,1,302,154,2,1,0,0,0,0,0,0,19.242,0.028,18.875,0.016,18.423,0.015,18.313,0.015,18.103,0.025,211330580493631488,,,,,,0.4480000000000004,quasar
000011.41+145545.6,0.047547,14.929353,0.4596,19.637,0.03,19.466,0.024,19.362,0.022,19.193,0.025,19.005,0.047,0.208,20.559,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.728,0.045,0,1,1,1,34603008,0,0,0,0,1,0,0,1739,51814,52235,750,499,40,3,303,43,1048578,1,0,0,0,1,0,0,19.679,0.029,19.454,0.018,19.355,0.015,19.172,0.028,19.043,0.045,211330582242656256,,,,,,0.10400000000000276,quasar
000013.14+141034.6,0.054786,14.176303,0.9491,19.519,0.034,19.281,0.028,19.115,0.016,19.155,0.024,19.071,0.053,0.309,20.572,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.568,-0.033,0,1,1,1,1048578,1,0,0,0,1,0,0,2566,52170,52235,750,98,40,2,309,51,1048578,1,0,0,0,1,0,0,19.528,0.036,19.297,0.013,19.129,0.027,19.175,0.018,19.102,0.05,211330580560740352,,,,,,0.16600000000000037,quasar
000024.02+152005.4,0.100116,15.33484,0.9885,19.413,0.044,19.183,0.035,18.988,0.015,19.079,0.023,19.133,0.06,0.22,20.553,-1.0,0.0,0.0,0,0,-1.877,2.017,20.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.706,-0.088,0,1,1,1,134225410,1,0,0,1,0,0,0,1739,51814,52235,750,500,40,4,303,109,134224898,1,0,0,1,0,0,0,19.469,0.04,19.189,0.023,18.985,0.017,19.081,0.018,19.186,0.062,211330582246850560,,,,,,0.19500000000000028,quasar
000026.29+134604.6,0.109578,13.767969,0.7678,19.345,0.03,18.998,0.023,18.922,0.023,19.01,0.022,18.838,0.042,0.297,20.572,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.194,-0.069,0,1,1,1,1048578,1,0,0,0,1,0,0,2566,52170,52235,750,87,40,1,309,37,1048578,1,0,0,0,1,0,0,19.331,0.026,19.024,0.014,18.946,0.013,19.009,0.033,18.833,0.041,211330580514603008,,,,,,0.07600000000000051,quasar
000053.71+150637.1,0.223831,15.11033,1.4111,19.992,0.042,19.681,0.017,19.29,0.018,19.077,0.021,19.083,0.056,0.219,20.572,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.559,0.299,0,1,1,1,1048578,1,0,0,0,1,0,0,2566,52170,52251,751,355,40,4,310,228,2,1,0,0,0,0,0,0,19.971,0.041,19.671,0.015,19.282,0.017,19.112,0.024,19.06,0.054,211612125334863872,,,,,,0.3910000000000018,quasar
000104.92+160101.2,0.270513,16.017013,0.4529,19.886,0.044,19.571,0.02,19.256,0.016,18.975,0.021,18.75,0.04,0.191,20.542,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.904,0.374,1,1,1,1,0,0,0,0,0,0,0,0,1739,51814,52235,750,576,40,6,304,186,2,1,0,0,0,0,0,0,20.059,0.043,19.577,0.022,19.254,0.018,18.983,0.016,18.736,0.041,211330582565617664,,,,,,0.3150000000000013,quasar
000116.00+141123.0,0.316675,14.189731,0.4037,19.007,0.026,18.682,0.021,18.704,0.016,18.556,0.021,18.156,0.029,0.299,20.572,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.089,-0.079,0,1,1,1,135273987,1,1,0,1,1,0,0,2566,52170,52235,750,58,40,2,310,99,135273475,1,1,0,1,1,0,0,19.03,0.026,18.695,0.01,18.706,0.016,18.571,0.019,18.161,0.025,211330580392968192,,,,,,-0.022000000000002018,quasar
000119.64+154828.8,0.331834,15.808002,1.9242,19.661,0.038,19.555,0.019,19.301,0.024,19.016,0.019,18.826,0.044,0.219,20.542,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.345,0.273,0,1,1,1,1048578,1,0,0,0,1,0,0,2566,52170,52235,750,566,40,6,311,142,1048579,1,1,0,0,1,0,0,19.806,0.038,19.57,0.012,19.297,0.016,18.941,0.024,18.808,0.045,211330582523674624,,,,,,0.25400000000000134,quasar
000131.42+144610.6,0.380933,14.769632,0.5304,19.281,0.026,19.01,0.024,19.062,0.014,18.869,0.02,18.841,0.046,0.233,20.572,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.41,-0.053,0,1,1,1,2,1,0,0,0,0,0,0,1739,51814,52235,750,112,40,3,305,27,3,1,1,0,0,0,0,0,19.277,0.026,19.0,0.018,19.091,0.018,18.847,0.037,18.863,0.042,211330580619460608,,,,,,-0.0519999999999996,quasar
000132.83+145608.0,0.386795,14.935573,0.3989,19.223,0.026,19.197,0.024,19.249,0.015,19.038,0.02,18.393,0.035,0.229,20.572,-1.0,0.0,0.0,0,0,-1.412,3.598,7.64,16.584,0.1,15.611,0.149,15.274,0.165,0.348,-22.55,-0.016,1,1,1,1,7682,1,0,0,1,0,0,0,1739,51814,52251,751,303,40,3,305,31,7170,1,0,0,1,0,0,0,19.293,0.026,19.199,0.019,19.287,0.019,18.991,0.037,18.431,0.031,211612125116760064,,,,,,-0.0519999999999996,quasar
000139.42+152624.1,0.414274,15.440038,1.7897,18.889,0.024,18.751,0.015,18.469,0.019,18.103,0.018,18.192,0.031,0.225,20.542,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.092,0.342,0,1,1,1,1048579,1,1,0,0,1,0,0,2566,52170,52235,750,541,40,5,311,157,1048579,1,1,0,0,1,0,0,18.886,0.018,18.747,0.022,18.468,0.019,18.104,0.014,18.18,0.029,211330582418817024,,,,,,0.28200000000000003,quasar
000143.41+152021.4,0.430881,15.339283,2.6382,19.843,0.038,19.233,0.017,19.028,0.016,18.947,0.019,18.857,0.05,0.215,20.542,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.128,0.186,0,1,1,1,2,1,0,0,0,0,0,0,1739,51814,52235,750,550,40,4,305,113,2,1,0,0,0,0,0,0,19.873,0.037,19.225,0.018,19.027,0.018,18.948,0.021,18.863,0.047,211330582456565760,,,,,,0.20500000000000185,quasar
000159.56+135933.4,0.498193,13.992627,1.2721,19.503,0.029,19.341,0.017,19.086,0.018,19.068,0.022,19.131,0.053,0.331,20.572,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.367,-0.087,0,1,1,1,2,1,0,0,0,0,0,0,1739,51814,52251,751,286,40,1,305,151,2,1,0,0,0,0,0,0,19.501,0.028,19.311,0.017,19.088,0.019,19.055,0.023,19.115,0.052,211612125045456896,,,,,,0.25500000000000256,quasar
000216.62+134916.3,0.569259,13.821206,1.2716,19.484,0.035,19.391,0.025,18.925,0.015,18.881,0.023,18.978,0.047,0.337,20.572,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.556,0.147,0,1,1,1,2,1,0,0,0,0,0,0,2566,52170,52235,750,6,40,1,312,109,2,1,0,0,0,0,0,0,19.427,0.032,19.39,0.016,18.949,0.012,18.88,0.017,18.986,0.047,211330580174864384,,,,,,0.4659999999999975,quasar
000221.80+151454.5,0.590861,15.248488,1.8235,18.97,0.025,18.852,0.013,18.81,0.017,18.518,0.02,18.403,0.038,0.229,20.542,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.723,0.03,0,1,1,1,1048579,1,1,0,0,1,0,0,1739,51814,52235,750,553,40,4,306,94,1048579,1,1,0,0,1,0,0,18.953,0.023,18.845,0.014,18.816,0.018,18.536,0.024,18.388,0.037,211330582469148672,,,,,,0.04200000000000159,quasar
000246.18+155955.8,0.692454,15.998853,0.374,19.529,0.033,19.305,0.018,19.222,0.015,19.186,0.025,18.579,0.04,0.225,20.581,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.245,-0.138,0,1,1,1,1048579,1,1,0,0,1,0,0,2566,52170,52251,751,338,40,6,313,97,1048579,1,1,0,0,1,0,0,19.47,0.029,19.297,0.021,19.24,0.015,19.175,0.021,18.587,0.039,211612125263560704,,,,,,0.08299999999999841,quasar
000300.35+160027.6,0.751459,16.007676,3.6754,24.073,1.034,20.853,0.033,19.677,0.019,19.582,0.029,19.318,0.07,0.23,20.581,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.228,0.06,0,1,1,1,0,0,0,0,0,0,0,0,2566,52170,52235,750,608,40,6,313,238,1,0,1,0,0,0,0,0,23.417,0.701,20.867,0.034,19.685,0.018,19.566,0.026,19.307,0.07,211330582699835392,,,,,,1.176000000000002,non-quasar
000334.10+152753.8,0.892123,15.464955,0.9007,19.619,0.032,19.228,0.016,19.044,0.018,19.082,0.021,18.891,0.044,0.249,20.62,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.49,0.04,0,1,1,1,2,1,0,0,0,0,0,0,2566,52170,52251,751,394,40,5,314,88,2,1,0,0,0,0,0,0,19.59,0.028,19.227,0.015,19.062,0.017,19.084,0.017,18.876,0.044,211612125498441728,,,,,,0.18400000000000105,quasar
000335.20+144743.6,0.8967,14.795456,3.4841,24.442,0.853,21.187,0.051,20.243,0.028,20.072,0.032,19.994,0.108,0.343,20.64,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.668,0.144,0,1,1,1,0,0,0,0,0,0,0,0,1739,51814,52235,750,36,40,3,308,258,1,0,1,0,0,0,0,0,24.433,0.853,21.159,0.051,20.252,0.026,20.063,0.035,20.031,0.109,211330580300693504,,,,,,0.9440000000000026,non-quasar
000342.08+153628.7,0.925351,15.607983,1.5682,19.646,0.032,19.374,0.022,19.235,0.02,18.99,0.018,18.895,0.045,0.262,20.614,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.912,0.027,0,1,1,1,2,1,0,0,0,0,0,0,1739,51814,52235,750,615,40,5,308,106,2,1,0,0,0,0,0,0,19.763,0.031,19.388,0.024,19.234,0.015,19.0,0.015,18.933,0.043,211330582729195520,,,,,,0.13899999999999935,quasar
000405.44+141951.9,1.022706,14.331096,0.7917,19.757,0.041,19.407,0.018,19.189,0.015,19.139,0.018,18.962,0.048,0.625,20.644,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.272,0.131,0,1,1,1,2,1,0,0,0,0,0,0,2566,52170,52235,750,40,40,2,315,180,2,1,0,0,0,0,0,0,19.758,0.039,19.415,0.012,19.194,0.023,19.128,0.017,18.955,0.048,211330580317470720,,,,,,0.21799999999999997,quasar
000417.04+160554.0,1.071009,16.098359,0.4762,20.447,0.06,19.979,0.024,19.586,0.018,19.182,0.02,18.947,0.049,0.215,20.59,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.828,0.64,1,1,1,1,2,1,0,0,0,0,0,0,1739,51814,52251,751,379,40,6,309,305,2,1,0,0,0,0,0,0,20.419,0.056,19.973,0.027,19.585,0.021,19.178,0.019,18.921,0.048,211612125435527168,,,,,,0.3930000000000007,quasar
000437.23+151028.3,1.155132,15.174555,3.1992,24.884,1.013,21.282,0.038,20.387,0.029,20.279,0.037,19.863,0.113,0.252,20.61,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.238,0.577,0,1,1,1,1,0,1,0,0,0,0,0,2566,52170,52235,750,632,40,4,316,311,1,0,1,0,0,0,0,0,24.8,1.011,21.251,0.039,20.38,0.025,20.298,0.039,19.876,0.112,211330582800498688,,,,,,0.8949999999999996,non-quasar
000459.58+160225.0,1.248283,16.040291,1.148,19.541,0.034,19.321,0.024,19.097,0.018,19.071,0.022,19.03,0.055,0.218,20.587,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.073,-0.023,0,1,1,1,2,1,0,0,0,0,0,0,1739,51814,52251,751,407,40,6,311,26,2,1,0,0,0,0,0,0,19.656,0.045,19.304,0.017,19.083,0.015,19.078,0.025,19.038,0.051,211612125552967680,,,,,,0.2240000000000002,quasar
000519.39+144422.6,1.330825,14.739613,0.8582,18.476,0.023,18.134,0.016,17.903,0.015,17.875,0.018,17.683,0.028,0.347,20.621,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,16.701,0.17,15.999,0.214,15.706,0.221,0.317,-25.619,0.176,0,1,1,1,2,1,0,0,0,0,0,0,2566,52170,52251,751,223,40,3,317,65,2,1,0,0,0,0,0,0,18.516,0.015,18.137,0.011,17.902,0.016,17.875,0.016,17.689,0.019,211612124781215744,,,,,,0.23100000000000165,quasar
000536.38+135949.4,1.401623,13.997075,3.6864,24.884,0.969,20.916,0.039,19.758,0.027,19.609,0.03,19.378,0.066,0.648,20.648,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.377,-0.044,0,1,1,1,1,0,1,0,0,0,0,0,1739,51814,52251,751,207,40,1,311,181,1,0,1,0,0,0,0,0,25.217,0.849,20.906,0.037,19.743,0.019,19.612,0.029,19.394,0.065,211612124714106880,,,,,,1.1580000000000013,non-quasar
000545.61+153833.8,1.440078,15.642739,0.4414,17.866,0.028,17.658,0.023,17.674,0.014,17.566,0.019,17.412,0.02,0.42,20.6,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,16.448,0.114,15.968,0.136,14.72,0.112,0.362,-24.343,-0.194,0,1,1,1,2,1,0,0,0,0,0,0,1739,51814,52251,751,462,40,5,312,60,2,1,0,0,0,0,0,0,17.96,0.013,17.655,0.019,17.665,0.009,17.593,0.016,17.424,0.02,211612125783654400,,,,,,-0.015999999999998238,quasar
000559.20+153125.1,1.496694,15.523659,0.4663,19.085,0.025,18.735,0.02,18.849,0.017,18.67,0.017,18.433,0.031,0.369,20.603,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,16.981,0.173,16.071,0.167,14.925,0.135,0.265,-23.352,-0.184,0,1,1,1,3,1,1,0,0,0,0,0,2566,52170,52251,751,477,40,5,318,81,1048579,1,1,0,0,1,0,0,19.057,0.027,18.744,0.015,18.882,0.016,18.669,0.012,18.417,0.03,211612125846568960,,,,,,-0.11400000000000077,quasar
000617.07+135406.9,1.571165,13.901935,0.6043,20.428,0.054,19.774,0.02,19.57,0.017,19.2,0.018,19.204,0.053,0.577,20.657,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.535,0.291,0,1,1,1,134225410,1,0,0,1,0,0,0,2566,52170,52251,751,212,40,1,319,82,134224898,1,0,0,1,0,0,0,20.475,0.056,19.765,0.015,19.576,0.015,19.186,0.018,19.215,0.053,211612124735078400,,,,,,0.20400000000000063,quasar
000623.57+144710.7,1.598217,14.786314,1.1287,19.719,0.033,19.507,0.02,19.236,0.016,19.179,0.025,19.173,0.057,0.379,20.626,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.99,0.006,0,1,1,1,2,1,0,0,0,0,0,0,1739,51814,52251,751,190,40,3,313,27,2,1,0,0,0,0,0,0,19.766,0.031,19.535,0.021,19.257,0.021,19.175,0.022,19.207,0.06,211612124642803712,,,,,,0.2710000000000008,quasar
000625.25+154625.8,1.605244,15.773835,1.52,24.102,0.791,23.042,0.171,20.731,0.035,19.732,0.027,19.262,0.059,0.331,20.599,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.125,2.917,0,1,1,1,1,0,1,0,0,0,0,0,1739,51814,52251,751,500,40,5,313,316,1,0,1,0,0,0,0,0,24.225,0.806,23.072,0.175,20.756,0.036,19.729,0.028,19.269,0.055,211612125943037952,,,,,,2.311,non-quasar
000627.03+160600.8,1.612661,16.100242,1.6781,19.346,0.03,19.186,0.019,19.213,0.018,18.967,0.023,19.062,0.054,0.266,20.589,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.095,-0.102,0,1,1,1,3,1,1,0,0,0,0,0,1739,51814,52251,751,529,40,6,313,72,3,1,1,0,0,0,0,0,19.313,0.029,19.196,0.02,19.216,0.015,18.977,0.018,19.046,0.054,211612126064672768,,,,,,-0.027000000000001023,quasar
000639.20+142156.1,1.663354,14.365596,1.392,19.001,0.027,18.683,0.025,18.277,0.015,18.086,0.017,17.968,0.028,0.564,20.639,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,16.532,0.122,15.926,0.116,15.126,0.163,0.269,-26.658,0.16,0,1,1,1,1048578,1,0,0,0,1,0,0,1739,51814,52251,751,181,40,2,313,66,1048578,1,0,0,0,1,0,0,18.999,0.022,18.697,0.019,18.31,0.01,18.094,0.011,17.966,0.03,211612124605054976,,,,,,0.4059999999999988,quasar
000654.13+141133.1,1.725571,14.192534,1.2987,20.325,0.058,19.943,0.023,19.469,0.022,19.297,0.019,19.111,0.05,0.576,20.647,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.287,0.199,0,1,1,1,1048578,1,0,0,0,1,0,0,2566,52170,52251,751,131,40,2,320,103,1048578,1,0,0,0,1,0,0,20.336,0.058,19.943,0.019,19.477,0.017,19.311,0.021,19.106,0.049,211612124395339776,,,,,,0.4740000000000002,quasar
000654.40+141442.7,1.726698,14.245212,1.6359,19.848,0.042,19.469,0.021,19.418,0.022,19.209,0.019,19.115,0.05,0.578,20.644,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.92,-0.168,0,1,1,1,1048578,1,0,0,0,1,0,0,2566,52170,52251,751,138,40,2,320,106,1048578,1,0,0,0,1,0,0,19.876,0.042,19.489,0.017,19.421,0.016,19.217,0.02,19.11,0.049,211612124424699904,,,,,,0.05100000000000193,quasar
000655.61+150917.6,1.731732,15.154907,1.3995,19.936,0.041,19.554,0.017,19.388,0.02,19.202,0.021,19.135,0.059,0.33,20.62,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.46,-0.001,0,1,1,1,1048578,1,0,0,0,1,0,0,2566,52170,52251,751,508,40,4,320,148,1048578,1,0,0,0,1,0,0,19.966,0.04,19.539,0.012,19.397,0.021,19.229,0.019,19.123,0.06,211612125976592384,,,,,,0.16599999999999682,quasar
000724.08+151657.6,1.850339,15.282686,2.0636,19.226,0.029,19.026,0.017,18.894,0.018,18.779,0.018,18.591,0.042,0.352,20.62,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.796,-0.003,0,1,1,1,2,1,0,0,0,0,0,0,1739,51814,52251,751,513,40,4,314,55,2,1,0,0,0,0,0,0,19.206,0.024,19.006,0.016,18.881,0.018,18.784,0.024,18.61,0.049,211612125997563904,,,,,,0.13200000000000145,quasar
000729.17+145811.1,1.871571,14.969759,1.1379,18.833,0.021,18.527,0.023,18.176,0.015,18.08,0.024,18.041,0.029,0.33,20.628,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.088,0.134,0,1,1,1,2,1,0,0,0,0,0,0,1739,51814,52251,751,174,40,3,314,115,2,1,0,0,0,0,0,0,18.87,0.025,18.549,0.019,18.207,0.011,18.115,0.024,18.064,0.027,211612124575694848,,,,,,0.35100000000000264,quasar
000730.82+160732.5,1.878455,16.125705,3.5014,25.195,0.872,21.279,0.041,20.113,0.025,19.789,0.031,19.361,0.071,0.24,20.597,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.92,0.524,0,1,1,1,1,0,1,0,0,0,0,0,1739,51814,52251,751,562,40,6,315,252,1,0,1,0,0,0,0,0,25.397,0.799,21.281,0.04,20.104,0.023,19.805,0.029,19.392,0.078,211612126203084800,,,,,,1.1660000000000004,non-quasar
000748.29+151746.0,1.951213,15.296132,1.2398,19.709,0.035,19.396,0.019,18.908,0.019,18.772,0.02,18.777,0.047,0.363,20.622,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.615,0.272,0,1,1,1,2,1,0,0,0,0,0,0,1739,51814,52251,751,553,40,4,315,42,2,1,0,0,0,0,0,0,19.675,0.031,19.382,0.018,18.896,0.019,18.785,0.013,18.782,0.05,211612126165336064,,,,,,0.48799999999999955,quasar
000759.40+150822.6,1.997523,15.139632,1.968,19.426,0.032,19.412,0.019,19.35,0.019,18.961,0.019,18.73,0.043,0.292,20.627,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.481,0.183,0,1,1,1,1048579,1,1,0,0,1,0,0,2566,52170,52251,751,557,40,4,321,140,1048579,1,1,0,0,1,0,0,19.434,0.027,19.421,0.013,19.358,0.023,18.987,0.02,18.727,0.042,211612126182113280,,,,,,0.06199999999999761,quasar
000802.22+152408.8,2.009263,15.402454,1.4321,19.669,0.032,19.559,0.033,19.235,0.074,19.144,0.086,19.132,0.058,0.409,20.621,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.604,0.026,0,1,1,1,2,1,0,0,0,0,0,0,2566,52170,52251,751,544,40,5,321,194,2,1,0,0,0,0,0,0,19.662,0.031,19.529,0.028,19.236,0.075,19.189,0.131,19.116,0.061,211612126127587328,,,,,,0.3240000000000016,quasar
000809.19+152943.4,2.038313,15.495416,0.7566,19.027,0.025,18.655,0.026,18.537,0.016,18.514,0.017,18.405,0.034,0.386,20.619,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.69,0.064,0,1,1,1,2,1,0,0,0,0,0,0,2566,52170,52251,751,589,40,5,322,28,2,1,0,0,0,0,0,0,18.994,0.019,18.662,0.016,18.549,0.018,18.543,0.017,18.403,0.028,211612126316331008,,,,,,0.1180000000000021,quasar
000814.45+150946.9,2.060228,15.16303,1.0324,19.684,0.037,19.289,0.017,18.96,0.021,19.044,0.023,19.126,0.059,0.296,20.628,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.877,0.007,0,1,1,1,2,1,0,0,0,0,0,0,2566,52170,52251,752,356,40,4,322,56,3,1,1,0,0,0,0,0,19.721,0.033,19.297,0.012,18.965,0.013,19.086,0.015,19.153,0.061,211893600315768832,,,,,,0.3290000000000006,quasar
000842.70+144108.5,2.177955,14.685715,0.7394,19.446,0.035,18.912,0.014,18.658,0.015,18.642,0.017,18.457,0.034,0.349,20.644,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.491,0.226,0,1,1,1,2,1,0,0,0,0,0,0,2566,52170,52251,752,310,40,3,323,1,2,1,0,0,0,0,0,0,19.415,0.03,18.911,0.01,18.664,0.009,18.653,0.018,18.45,0.032,211893600122830848,,,,,,0.2539999999999978,quasar
000856.79+155045.7,2.236656,15.846055,1.6909,19.283,0.032,19.079,0.018,18.963,0.013,18.718,0.021,18.598,0.037,0.405,20.616,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.418,0.003,0,1,1,1,1048578,1,0,0,0,1,0,0,2566,52170,52251,751,615,40,6,323,43,1048578,1,0,0,0,1,0,0,19.41,0.028,19.077,0.018,18.975,0.015,18.682,0.013,18.589,0.039,211612126425382912,,,,,,0.11599999999999966,quasar
000901.38+153947.9,2.255758,15.663327,1.2436,19.87,0.037,19.437,0.023,18.954,0.015,18.856,0.02,18.892,0.043,0.381,20.621,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.546,0.204,0,1,1,1,2,1,0,0,0,0,0,0,1739,51814,52251,751,581,40,5,317,54,2,1,0,0,0,0,0,0,19.923,0.037,19.44,0.019,18.955,0.02,18.849,0.017,18.886,0.044,211612126282776576,,,,,,0.48300000000000054,quasar
000905.00+141228.9,2.270865,14.20803,1.518,19.753,0.039,19.487,0.019,19.321,0.017,19.061,0.023,19.098,0.05,0.532,20.658,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.874,-0.031,0,1,1,1,2,1,0,0,0,0,0,0,2566,52170,52251,751,4,40,2,323,99,2,1,0,0,0,0,0,0,19.785,0.037,19.498,0.012,19.334,0.015,19.073,0.015,19.112,0.048,211612123862663168,,,,,,0.16599999999999682,quasar
000950.51+141002.1,2.460464,14.167254,3.1515,20.993,0.096,19.085,0.022,18.834,0.017,18.943,0.021,18.832,0.04,0.367,20.659,-1.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.588,-0.288,0,1,1,1,3,1,1,0,0,0,0,0,2566,52170,52251,751,16,40,2,324,151,3,1,1,0,0,0,0,0,20.997,0.093,19.067,0.014,18.853,0.022,18.963,0.025,18.837,0.038,211612123912994816,,,,,,0.2510000000000012,quasar
