galaxy,psp_bic,lcdm_bic,diff
WALLABY_J132119-130231,3738250.6701445417,3740587.5360385487,-2336.865894007031
WALLABY_J132148-131222,369648.4541718585,371686.66379617446,-2038.2096243159613
WALLABY_J132202-201335,2459756.317146095,2463025.9870058354,-3269.6698597404175
WALLABY_J132402-243938,2026300.8742147249,2033380.2557697247,-7079.381554999854
WALLABY_J132433-210813,340271.1904674652,344409.9141169173,-4138.723649452091
WALLABY_J132441-194214,2077859.328114826,2093656.8481088462,-15797.51999402023
WALLABY_J132500-240035,144994.68322439093,147908.35547834673,-2913.672253955796
WALLABY_J132519-210812,2016697.8619050458,2024476.7361181497,-7778.8742131039035
WALLABY_J132529-201001,313810.31512033305,329767.885962494,-15957.57084216096
WALLABY_J132608-163111,20342.10026286151,20591.883908301374,-249.7836454398639
WALLABY_J132635-221419,4496569.260141716,4502569.748406883,-6000.4882651669905
WALLABY_J133010-240841,1293076.4270127108,1313405.505375617,-20329.07836290612
WALLABY_J133017-214446,132707.23705978598,134539.0940969808,-1831.85703719483
WALLABY_J133019-220858,361522.3280258892,367045.0507203221,-5522.722694432945
WALLABY_J133041-233009,30445.98041102752,32882.86775643977,-2436.8873454122513
WALLABY_J133058-215044,59205.96918596976,60760.67542998982,-1554.7062440200534
WALLABY_J133103-150604,273776.89776902116,276990.84542238637,-3213.947653365205
WALLABY_J133103-160750,68628.55916098105,70135.03644675018,-1506.4772857691278
WALLABY_J133115-250859,136911.57408868862,146118.71583538264,-9207.141746694018
WALLABY_J133138-232047,168141.72069317455,171543.97361800243,-3402.252924827888
WALLABY_J133208-225710,161056.49782897165,162566.22675350978,-1509.7289245381253
WALLABY_J133214-210542,788690.2781032907,805882.62626611,-17192.348162819282
WALLABY_J133314-160715,40586.84153536266,42417.51448476025,-1830.6729493975872
WALLABY_J133329-211151,255144.88514691032,259866.1801755787,-4721.295028668363
WALLABY_J133348-244525,233412.87837374213,235911.50187989397,-2498.6235061518382
WALLABY_J133439-234044,770755.4370470878,772095.9897125415,-1340.552665453637
WALLABY_J133440-234722,105668.37773696212,108012.92782184712,-2344.5500848849915
WALLABY_J133610-234710,63961.99632731663,66915.95723289042,-2953.960905573789
WALLABY_J133741-150605,88275.25933989606,91802.85651652765,-3527.5971766315924
WALLABY_J133756-240727,207875.95209707294,214233.71596335535,-6357.763866282417
WALLABY_J133801-225524,112900.50351489849,115727.08642328848,-2826.582908389988
WALLABY_J133802-175254,994871.3627598401,999993.1924921727,-5121.8297323326115
WALLABY_J133811-204047,39133.50898798771,41545.053192971085,-2411.5442049833728
WALLABY_J133949-220132,77159.98131611277,77829.5971099798,-669.6157938670367
WALLABY_J134019-235122,77661.92311011656,79372.88225843148,-1710.9591483149125
WALLABY_J134501-155202,119648.61336643911,123093.60101548737,-3444.9876490482566
WALLABY_J163512-580438,104332.17257076118,105895.918762645,-1563.7461918838235
WALLABY_J163518-581311,401357.4090116801,404402.0461239127,-3044.6371122325654
WALLABY_J163650-601632,253898.2688600707,257442.08772841032,-3543.8188683396147
WALLABY_J163916-601108,1162733.4345397262,1167527.2473924954,-4793.812852769159
WALLABY_J163924-565221,3897903.243728054,3912083.992470058,-14180.748742003925
WALLABY_J164052-602341,84679.48029128935,88009.50791223183,-3330.0276209424774
